User ID,Name,Email,Wallet Address,Action Taken,Transaction Hash,Date
"user_001","Amit Sharma","amit123sharma@gmail.com","GBZAAM3FEDEIKMSODD36SR2F4D327VO3IAEZFWJMK3W5GHWQYNVKKTMI","Contributed 79 XLM to Group #4","80851879f679b270cdb0752543b53f0e624a45b77f6167147d32370246fbce33","2026-07-17"
"user_002","Neha Patel","neha.patel9876@gmail.com","GAE7SGGYB7ESDP7UPTTJNZ7K5ZFWUTERLGV7JYNPIIEZH3JE2SBKBO7A","Contributed 79 XLM to Group #4","ce5da3402d80d3a3bdb02ba26fe75e765adb3a6bcfe5b08e23f19135e259c9ec","2026-07-17"
"user_003","Rahul Singh","rahul2507singh@gmail.com","GB6HRV3ZLVSSYKIUN3IL4PM6EGHYTAYGAHFNRYJZCMD7DFBX4MAF5SRV","Contributed 79 XLM to Group #4","acb9b54fc3a3176999b75bbc3fb3772134042d35499fb0350beb11f041079575","2026-07-17"
"user_004","Pooja Gupta","pooja007gupta@gmail.com","GBBEBOGMCAONYDMZDCDJUOOXRI2HB6H5HZNA25HYHHBILRQ46LKP52YL","Contributed 79 XLM to Group #4","6c9cdfa27e75bcec11a61e2af9ed1bad8bd0f1cfcf8f94556e1e8d7bd65a3088","2026-07-17"
"user_005","Sanjay Yadav","sanjayyadav8899@gmail.com","GAT4S6NO5O4C5OXAIUTMFXNIUTCNUD4WEVW6EN4RMHH23OFO36PTMCKA","Contributed 79 XLM to Group #4","d229969b760d661f48d198e0c510152a7ef2127e204727b3a947c1049ddc8224","2026-07-17"
"user_006","Kavita Tiwari","9988kavitatiwari@gmail.com","GCYB6LKAZA4HSMNQQDXC4WFWMC4DW5VEHHFK3FSVPRADLX2SLZR2AWJE","Contributed 79 XLM to Group #4","b13cbd79025cfae5b8f92465675a6e583213ee3fdcd8f5d37a4a5567dffde625","2026-07-17"
"user_007","Anil Kumar","anil.kumar1508@gmail.com","GBRC67VI6YKAGICETNQVXNJY55URSRMR4EIS7YX3A3DQ46TB2CTE66O6","Contributed 79 XLM to Group #4","59f47b0c88fdf7d21998e78be60db42a545e0e6fc101fef8c3904b556534dd47","2026-07-17"
"user_008","Sunita Mishra","sunita456mishra@gmail.com","GAV5USNOVV2UTRNE7ANDLWHAL3MA6WIMUKXEELTJEA5IHF3VG3NE3PZG","Contributed 79 XLM to Group #4","9320a388151295e8909b44354c0cbd644ef134524229ba97404f105a726a5dae","2026-07-17"
"user_009","Rohit Chauhan","rohitc98765@gmail.com","GBTMP4XGPGTOFE3GYOQS7CCL7AW6SHDY3YFTCPEI2HQIDPIMNGGUEOM7","Contributed 79 XLM to Group #4","56b73c4ecdc7e17aeca34379d231add806ae3006a9e3790de957f753d466e0fd","2026-07-17"
"user_010","Priya Jain","priya1990jain@gmail.com","GBIZPS4XVP7YFLVAE6G3VNDCOF2HLZ6VBDSQT6AQ4C5PNS53XPRRPVTV","Contributed 79 XLM to Group #4","172709b642bc0fd307530af562949c67ef381db740c5cb7edc350bceccfdcad8","2026-07-17"
"user_011","Ramesh Sharma","ramesh.sharma4321@gmail.com","GA7II7745NVMZ4Y4KNU7RFMXCHPJGVPYSDRACMCOSLMOZSD47MSPO7JA","Contributed 79 XLM to Group #4","f6c713a9b182e078dc14203282510731149b55ea3b287cb0f19643927b30411e","2026-07-17"
"user_012","Geeta Patel","geetapatel2405@gmail.com","GAKDHJRADZPW7NYY4WU3VV3EE267NEM66IPQ3YK6YQYM3AID2IPNFEBD","Contributed 79 XLM to Group #4","fad71e0247339265847d70e8cd5d1567a445b4547694ced5f49e48d6a711cf9c","2026-07-17"
"user_013","Suresh Singh","sureshsingh7788@gmail.com","GAG26CI7VPJRLRNEOERKI6CVQJQ3P2IT3FEMODZGHVNWATYG7NB6FBZO","Contributed 82 XLM to Group #5","3a790909de0be33f6cd907773b3d75d89ae7754d1a47c8b348f3f2da5532d7c0","2026-07-17"
"user_014","Aarti Gupta","aarti.g009@gmail.com","GAPOPKGI5XS53JVMNZ6HGRQO3U7XL5D4LNMT55HMZRDQ4JZSAKVONGLB","Contributed 82 XLM to Group #5","f7bb9ef621a140ccb21996e02ca5c419de783fa01d30e2d333c29a9eb6183132","2026-07-17"
"user_015","Manoj Yadav","manoj99yadav@gmail.com","GA7DB4A5KCSIQBH55INVVRTSI6PVRPNZGH2BMTURPXPZMOUTUPSIBRTI","Contributed 82 XLM to Group #5","47ad3c2a8e76e0b938362b1c1fac8622633ecc63cae5a85b11182ac87d9eb6a0","2026-07-17"
"user_016","Jyoti Tiwari","jyoti.tiwari9900@gmail.com","GCBEZL2ZSDG7HYZRROEBSN554ZCSWKIWZ65GSKPGCBD6QF2YASZWSRC5","Contributed 82 XLM to Group #5","1a092f5893a105c296b027b924043320cad325e6d4343729cb1641f618f65667","2026-07-17"
"user_017","Deepak Kumar","deepak0101kumar@gmail.com","GBVTWKEYJAGEHWV3S4BG25JX4HTJXOZQE7MU6OXIN7FGNVKOXTUIHITF","Contributed 82 XLM to Group #5","f7636de50cebcfc16bfb813ae20fff704eeb21c74fdcadf367e1c928e1a177cb","2026-07-17"
"user_018","Rekha Mishra","r.mishra1234@gmail.com","GDCCXPG5HJIB5LMZFECZC3NPKGQNVR7DN2YENAIVDKSOTSSDPCRZ6IST","Contributed 82 XLM to Group #5","ecccc25e5d28cf0a57530971aa853f57294d99cf72f50f638b32b9fe65114fae","2026-07-17"
"user_019","Vikas Chauhan","vikas8877chauhan@gmail.com","GCYSMMOCR5YTPOWBT24G6OYZ2H5G7KZEPMTFXMNBDN3ERC7H3FNCOQT5","Contributed 82 XLM to Group #5","ec5200b22518d65dfdc67480992b2f01ca27ac9f3d7ee7bad2c834efdb701b73","2026-07-17"
"user_020","Swati Jain","swatijain9090@gmail.com","GB5D5GFQIWWO27457L3ZFHBDX4X5HL2TYZMNZ3QBREHEJJOQEAPHX43M","Contributed 82 XLM to Group #5","a108b17a83721a40ebf9a57fac2fc2028726926531f80e20efe143ed5aac0a4d","2026-07-17"
"user_021","Sunil Sharma","sunil.sharma0707@gmail.com","GBINNZFN2ESQT3GMXBMI6O6DIJ2XX2U4FMMIQ22BJRPGC7BUXZPEVPAX","Contributed 82 XLM to Group #5","197a7a5e7108858703d25e332f6682345eef1d6ffc2d1cce16277df3e6d8d87c","2026-07-17"
"user_022","Meena Patel","meenapatel8765@gmail.com","GAJU57MKXJQIMF6DOQ6GC4VL7SS5CTG6PQ4EAES3QC4XXJBZP6ILUSY7","Contributed 82 XLM to Group #5","d8c30b2fda78a3d51bdb3d531a59e39953e0e1694fba274b18dff624fd5279df","2026-07-17"
"user_023","Arvind Singh","arvind12singh@gmail.com","GCZIJQJBGHCADHUAGOQOSNXYCR4NN7GDZQTPJTD5FTXJZRKASEOE5QJ2","Contributed 82 XLM to Group #5","452817498de82360fafbba38df29e6e58b14fc35f6179dba3e83eb92706ee719","2026-07-17"
"user_024","Nisha Gupta","nisha.gupta1122@gmail.com","GBOFALCFDKRDEPNJFNFSJEWX6UVKZ7DHZX33MDUPTUDUDYIHU65XDYJZ","Contributed 82 XLM to Group #5","72e46afedf38615b41801529d08889281b0dae96a0064ac36a826e2ee40bc82e","2026-07-17"
"user_025","Prakash Yadav","prakashyadav5544@gmail.com","GD7QCP6O5NGXXENNSPKNYTJ3VHIZNMRVJUGMA23DHCYHMVHAJP5ZTWO5","Contributed 52 XLM to Group #6","a33c7a07851dfdeb3aa65baaba772237845eb18f9e527230d9cc618532fcf5b3","2026-07-17"
"user_026","Sushma Tiwari","sushma786tiwari@gmail.com","GBFX7WMGHUKI54ZVYYVDYH4J5WPH5CQW3W4G2QAPGA43DEDRKG5LYOMD","Contributed 52 XLM to Group #6","27252031c35c126b5371dd57605dc4eea2960046962f0289f172e585575c8208","2026-07-17"
"user_027","Mukesh Kumar","mukesh.k9898@gmail.com","GDB5RTVVF37W2G4JBOR7NSP4HMKSPVHO2ICH2QXJFO2XMIZQAGRUOPL3","Contributed 52 XLM to Group #6","d633b32bc459424a09fe03de7d9b056dff5ded55c1c9b8dc43d4ab9fb1a26972","2026-07-17"
"user_028","Radha Mishra","radhamishra2304@gmail.com","GDDEKLMPX42VRP6ZU7WBIFU3FAXHAHXJS24VCLYOVQ357TZLBGG52YUD","Contributed 52 XLM to Group #6","2ced3fe9eee990895850ede31c07d8cd5b33c075e7b859f94928ad73d63ae320","2026-07-17"
"user_029","Dinesh Chauhan","dinesh567chauhan@gmail.com","GCTOVD4TSDWILUBPDFOFL3N6TSPXRGWFLAP5Q3CZUNBBMZQMZXFG7BU4","Contributed 52 XLM to Group #6","47fd20b124a459de98febee25923cbaf861596d44243d0b6753371eedaa6cf1e","2026-07-17"
